name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last
miller,owen,680911,millo002,milleow01,24655,2021.0,2024.0
edman,tommy,669242,edmat001,edmanto01,19470,2019.0,2024.0
castillo,diego,660636,castd004,castidi02,19906,2022.0,2024.0
schneider,davis,676914,schnd001,schneda03,23565,2023.0,2024.0
lopez,nicky,670032,lopen001,lopezni01,19339,2019.0,2024.0
lowe,brandon,664040,loweb001,lowebr01,18882,2018.0,2024.0
goodman,hunter,696100,goodh001,goodmhu01,29715,2023.0,2024.0
olivares,edward,658668,olive001,olivaed02,19698,2020.0,2024.0
locastro,tim,641796,locat001,locasti01,15124,2017.0,2023.0
plawecki,kevin,608700,plawk001,plaweke01,13807,2015.0,2022.0
chourio,jackson,694192,chouj001,chourja01,28806,2024.0,2024.0
campero,gustavo,672569,campg001,campegu01,-1,2024.0,2024.0
cabrera,oswaldo,665828,cabro002,cabreos01,21707,2022.0,2024.0
tsutsugo,yoshi,660294,tsuty001,tsutsyo01,27459,2020.0,2022.0
witt,bobby,677951,wittb002,wittbo02,25764,2022.0,2024.0
lowrie,jed,476704,lowrj001,lowrije01,4418,2008.0,2022.0
bote,david,623520,boted002,boteda01,14593,2018.0,2024.0
winker,jesse,608385,winkj002,winkeje01,13590,2017.0,2024.0
wisdom,patrick,621550,wisdp001,wisdopa01,13602,2018.0,2024.0
kreidler,ryan,668952,kreir001,kreidry01,25867,2022.0,2024.0
davidson,matt,571602,davim005,davidma02,7226,2013.0,2022.0
lester,josh,623507,lestj002,lestejo02,17737,2022.0,2023.0
rutschman,adley,668939,rutsa001,rutscad01,26288,2022.0,2024.0
thompson,trayce,572204,thomt002,thomptr01,9952,2015.0,2023.0
manzardo,kyle,700932,manzk001,manzaky01,-1,2024.0,2024.0
judge,aaron,592450,judga001,judgeaa01,15640,2016.0,2024.0
stallings,jacob,607732,stalj001,stallja01,13723,2016.0,2024.0
burdick,peyton,680814,burdp001,burdipe01,25459,2022.0,2023.0
nootbaar,lars,663457,nootl001,nootbla01,21454,2021.0,2024.0
lemahieu,dj,518934,lemad001,lemahdj01,9874,2011.0,2024.0
reyes,víctor,622682,reyev001,reyesvi01,15487,2018.0,2022.0
dunand,joe,656388,dunaj001,dunanjo01,19727,2022.0,2022.0
jackson,alex,656577,jacka002,jacksal02,17276,2019.0,2024.0
longoria,evan,446334,longe001,longoev01,9368,2008.0,2023.0
langford,wyatt,694671,langw001,langfwy01,33333,2024.0,2024.0
polanco,jorge,593871,polaj001,polanjo01,13152,2014.0,2024.0
kirk,alejandro,672386,kirka001,kirkal01,22581,2020.0,2024.0
refsnyder,rob,608701,refsr001,refsnro01,13770,2015.0,2024.0
dezenzo,zach,701305,dezez001,dezenza01,-1,2024.0,2024.0
owings,chris,572008,owinc001,owingch01,10030,2013.0,2023.0
misner,kameron,670224,misnk001,misneka01,-1,2024.0,2024.0
fairchild,stuart,656413,fairs001,faircst01,20321,2021.0,2024.0
gomes,yan,543228,gomey001,gomesya01,9627,2012.0,2024.0
westburg,jordan,676059,westj002,westbjo01,27815,2023.0,2024.0
sullivan,brett,664954,sullb001,sullibr01,18217,2023.0,2024.0
motter,taylor,600301,mottt001,motteta01,12399,2016.0,2023.0
thaiss,matt,642136,thaim001,thaisma01,19318,2019.0,2024.0
laureano,ramón,657656,laurr001,laurera01,17128,2018.0,2024.0
peterson,jace,607054,petej002,peterja01,12325,2014.0,2024.0
aguilar,jesús,542583,aguij001,aguilje01,11342,2014.0,2023.0
calhoun,willie,641432,calhw001,calhowi01,17838,2017.0,2024.0
contreras,mark,676628,contm001,contrma01,20122,2022.0,2022.0
steer,spencer,668715,stees001,steersp01,26323,2022.0,2024.0
taylor,chris,621035,taylc001,tayloch03,13757,2014.0,2024.0
upton,justin,457708,uptoj001,uptonju01,5222,2007.0,2022.0
lee,korey,686676,lee-k002,leeko01,25543,2022.0,2024.0
kieboom,carter,666198,kiebc001,kieboca01,19958,2019.0,2023.0
wall,forrest,657088,wallf001,wallfo01,16496,2023.0,2024.0
herrera,iván,671056,herri001,herreiv01,20599,2022.0,2024.0
ornelas,jonathan,680716,ornej001,orneljo01,24597,2023.0,2024.0
machín,vimael,605353,machv001,machivi01,17684,2020.0,2022.0
thomas,dillon,605504,thomd004,thomadi01,12719,2021.0,2022.0
rizzo,anthony,519203,rizza001,rizzoan01,3473,2011.0,2024.0
arroyo,christian,624414,arroc001,arroych01,16434,2017.0,2023.0
walsh,jared,665120,walsj001,walshja01,18607,2019.0,2024.0
naylor,bo,666310,naylb001,naylobo01,21865,2022.0,2024.0
blackmon,charlie,453568,blacc001,blackch02,7859,2011.0,2024.0
massey,michael,686681,massm001,massemi02,27684,2022.0,2024.0
díaz,aledmys,649557,diaza003,diazal02,15937,2016.0,2024.0
wagaman,eric,676572,wagae001,wagamer01,-1,2024.0,2024.0
haniger,mitch,571745,hanim001,hanigmi01,14274,2016.0,2024.0
carlson,dylan,666185,carld002,carlsdy01,20126,2020.0,2024.0
holliday,jackson,702616,hollj003,hollija01,-1,2024.0,2024.0
rosario,eguy,666703,rosae002,rosareg01,19964,2022.0,2024.0
lipcius,andre,686531,lipca001,lipcian01,25822,2023.0,2023.0
garcía,adolis,666969,garca005,garciad02,19287,2018.0,2024.0
cruz,oneil,665833,cruzo001,cruzon01,21711,2021.0,2024.0
vavra,terrin,679631,vavrt001,vavrate01,24400,2022.0,2023.0
arráez,luis,650333,arral001,arraelu01,18568,2019.0,2024.0
marte,starling,516782,marts002,martest01,9241,2012.0,2024.0
hoerner,nico,663538,hoern001,hoernni01,21479,2019.0,2024.0
lee,jung hoo,808982,lee-j001,leeju01,33824,2024.0,2024.0
lowe,nathaniel,663993,lowen001,lowena01,19566,2019.0,2024.0
torrens,luis,620443,torrl001,torrelu01,15905,2017.0,2024.0
loperfido,joey,694388,lopej008,loperjo01,-1,2024.0,2024.0
quinn,roman,596451,quinr003,quinnro01,13546,2016.0,2022.0
soler,jorge,624585,solej001,solerjo01,14221,2014.0,2024.0
ortiz,joey,687401,ortij005,ortizjo06,25493,2023.0,2024.0
helman,michael,680737,helmm001,helmami01,-1,2024.0,2024.0
dixon,brandon,641525,dixob001,dixonbr01,15214,2018.0,2023.0
ozuna,marcell,542303,ozunm001,ozunama01,10324,2013.0,2024.0
vientos,mark,668901,vienm001,vientma01,22184,2022.0,2024.0
jansen,danny,643376,jansd001,janseda01,16535,2018.0,2024.0
black,tyler,672012,blact003,blackty01,-1,2024.0,2024.0
machado,dixon,553988,machd001,machadi01,11472,2015.0,2022.0
viloria,meibrys,650619,vilom001,vilorme01,17109,2018.0,2023.0
andújar,miguel,609280,andum001,andujmi01,15878,2017.0,2024.0
shenton,austin,668853,shena001,shentau01,25425,2024.0,2024.0
lawlar,jordan,691783,lawlj001,lawlajo01,29976,2023.0,2023.0
meneses,joey,608841,menej001,menesjo01,14366,2022.0,2024.0
caratini,víctor,605170,carav001,caratvi01,14968,2017.0,2024.0
canzone,dominic,686527,canzd001,canzodo01,26438,2023.0,2024.0
lukes,nathan,664770,luken001,lukesna01,18123,2023.0,2024.0
contreras,willson,575929,contw001,contrwi01,11609,2016.0,2024.0
hopkins,tj,686759,hopkt001,hopkitj01,25482,2023.0,2023.0
madris,bligh,676632,madrb002,madribl01,20054,2022.0,2024.0
alexander,blaze,677942,alexb001,alexabl01,23789,2024.0,2024.0
miller,brad,543543,millb002,millebr02,12775,2013.0,2023.0
devers,josé,672701,devej001,deverjo01,20540,2021.0,2024.0
bryant,kris,592178,bryak001,bryankr01,15429,2015.0,2024.0
plummer,nick,663911,plumn001,plummni01,18690,2022.0,2022.0
castro,rodolfo,666801,castr006,castrro01,21987,2021.0,2023.0
higashioka,kyle,543309,higak001,higasky01,5517,2017.0,2024.0
kirilloff,alex,666135,kiria001,kirilal01,20325,2021.0,2024.0
anderson,brian,605119,andeb006,anderbr06,18289,2017.0,2024.0
frelick,sal,686217,frels001,frelisa01,29622,2023.0,2024.0
barger,addison,680718,barga001,bargead01,-1,2024.0,2024.0
delay,jason,641511,delaj004,delayja01,19806,2022.0,2024.0
palacios,richie,680700,palar002,palacri01,24589,2022.0,2024.0
yorke,nick,694377,yorkn001,yorkeni01,-1,2024.0,2024.0
moniak,mickey,666160,monim001,moniami01,19956,2020.0,2024.0
albies,ozzie,645277,albio001,albieoz01,16556,2017.0,2024.0
hamilton,david,666152,hamid002,hamilda03,27531,2023.0,2024.0
velazquez,andrew,623205,velaa001,velazan01,14196,2018.0,2023.0
soto,livan,670869,sotol001,sotoli01,22471,2022.0,2024.0
soderstrom,tyler,691016,sodet001,soderty01,27467,2023.0,2024.0
cronenworth,jake,630105,cronj001,croneja01,18036,2020.0,2024.0
simmons,andrelton,592743,simma001,simmoan01,10847,2012.0,2022.0
gonzales,nick,693304,gonzn001,gonzani01,27490,2023.0,2024.0
santander,anthony,623993,santa003,santaan02,14551,2017.0,2024.0
godoy,josé,608422,godoj001,godoyjo01,15808,2021.0,2022.0
seagle,chandler,676882,seagc002,seaglch01,23552,2023.0,2023.0
deloach,zach,676113,deloz001,deloaza01,-1,2024.0,2024.0
mauricio,ronny,677595,maurr002,mauriro01,23698,2023.0,2023.0
siri,josé,642350,sirij001,sirijo01,17452,2021.0,2024.0
demeritte,travis,641513,demet001,demertr01,15958,2019.0,2022.0
walls,taylor,670764,wallt003,wallsta01,22458,2021.0,2024.0
thomas,cody,642137,thomc003,thomaco01,19828,2022.0,2023.0
mullins,cedric,656775,mullc002,mullice01,17929,2018.0,2024.0
keith,colt,690993,keitc001,keithco01,27899,2024.0,2024.0
whitcomb,shay,694376,whits003,whitcsh01,-1,2024.0,2024.0
mazara,nomar,608577,mazan001,mazarno01,14553,2016.0,2022.0
pillar,kevin,607680,pillk001,pillake01,12434,2013.0,2024.0
harrison,monte,656509,harrm003,harrimo01,17216,2020.0,2022.0
ohtani,shohei,660271,ohtas001,ohtansh01,19755,2018.0,2024.0
aguilar,ryan,666922,aguir002,aguilry01,19967,2022.0,2022.0
langeliers,shea,669127,langs001,langesh01,25816,2022.0,2024.0
siani,michael,672279,sianm001,sianimi01,22557,2022.0,2024.0
sánchez,yolmer,570560,sancc001,sanchca01,11602,2014.0,2022.0
arcia,orlando,606115,arcio002,arciaor01,13185,2016.0,2024.0
ramos,henry,592656,ramoh001,ramoshe01,11481,2021.0,2023.0
mercedes,yermín,606213,mercy001,merceye01,17423,2020.0,2022.0
henderson,gunnar,683002,hendg002,hendegu01,26289,2022.0,2024.0
sheets,gavin,657757,sheeg001,sheetga01,19901,2021.0,2024.0
lamb,jake,571875,lambj001,lambja01,13329,2014.0,2023.0
foscue,justin,679822,foscj001,foscuju01,-1,2024.0,2024.0
d'arnaud,travis,518595,darnt001,darnatr01,7739,2013.0,2024.0
schwarber,kyle,656941,schwk001,schwaky01,16478,2015.0,2024.0
romine,austin,519222,romia002,rominau01,5491,2011.0,2022.0
gore,terrance,605253,goret001,gorete01,13658,2014.0,2022.0
stevenson,andrew,664057,steva001,stevean01,17932,2017.0,2023.0
adams,jordyn,677941,adamj003,adamsjo03,23788,2023.0,2024.0
díaz,lewin,650331,diazl001,diazle01,18365,2020.0,2022.0
freeman,freddie,518692,freef001,freemfr01,5361,2010.0,2024.0
winn,masyn,691026,winnm001,winnma01,27479,2023.0,2024.0
pinto,rené,650907,pintr003,pintore02,19859,2022.0,2024.0
nuñez,dom,624513,nuned001,nunezdo01,15055,2019.0,2022.0
amaya,miguel,665804,amaym001,amayami01,21693,2023.0,2024.0
benintendi,andrew,643217,benia002,beninan01,17901,2016.0,2024.0
malloy,justyn-henry,669234,mallj001,malloju02,-1,2024.0,2024.0
volpe,anthony,683011,volpa001,volpean01,27647,2023.0,2024.0
kolozsvary,mark,656627,kolom001,kolozma01,21304,2022.0,2023.0
vilade,ryan,668723,vilar001,viladry01,22165,2021.0,2024.0
ellis,duke,668752,ellid003,ellisdu01,-1,2024.0,2024.0
solak,nick,669256,solan001,solakni01,19294,2019.0,2023.0
gamel,ben,592325,gameb001,gamelbe01,12160,2016.0,2024.0
marcano,tucupita,672779,marct001,marcatu01,22871,2021.0,2023.0
vanmeter,josh,642165,vanmj001,vanmejo01,15170,2019.0,2022.0
sogard,nick,686765,sogan001,sogarni01,-1,2024.0,2024.0
beckham,tim,542921,beckt001,beckhti01,7949,2013.0,2022.0
rojas,miguel,500743,rojam002,rojasmi02,7802,2014.0,2024.0
bellinger,cody,641355,bellc002,bellico01,15998,2017.0,2024.0
moreno,gabriel,672515,moreg001,morenga01,22664,2022.0,2024.0
correa,carlos,621043,corrc001,correca01,14162,2015.0,2024.0
vosler,jason,613564,voslj001,vosleja01,16686,2021.0,2024.0
rosario,amed,642708,rosaa003,rosaram01,15518,2017.0,2024.0
merrill,jackson,701538,merrj002,merrija01,29490,2024.0,2024.0
swaggerty,travis,680552,swagt001,swaggtr01,24491,2022.0,2022.0
garlick,kyle,664247,garlk001,garliky01,18063,2019.0,2023.0
narvaez,carlos,665966,narvc002,narvaca01,-1,2024.0,2024.0
knizner,andrew,668800,kniza001,kniznan01,19514,2019.0,2024.0
pollock,aj,572041,polla001,polloaj01,9256,2012.0,2023.0
villar,david,681584,villd001,villada01,24782,2022.0,2024.0
jiménez,eloy,650391,jimee001,jimenel02,17484,2019.0,2024.0
hermosillo,michael,641684,hermm001,hermomi01,16285,2018.0,2022.0
melendez,mj,669004,melem001,melenmj01,22197,2022.0,2024.0
tatís,fernando,665487,tatif002,tatisfe02,19709,2019.0,2024.0
rogers,jake,668670,rogej004,rogerja03,19452,2019.0,2024.0
kelly,carson,608348,kellc002,kellyca02,13620,2016.0,2024.0
hayes,ke'bryan,663647,hayek001,hayeske01,18577,2020.0,2024.0
donaldson,josh,518626,donaj001,donaljo02,5038,2010.0,2023.0
duffy,matt,622110,duffm002,duffyma01,13836,2014.0,2024.0
hall,darick,669742,halld003,hallda02,19717,2022.0,2023.0
mountcastle,ryan,663624,mounr001,mountry01,18373,2020.0,2024.0
pineda,israel,672832,pinei001,pinedis01,22906,2022.0,2022.0
ramos,bryan,682868,ramob001,ramosbr01,-1,2024.0,2024.0
contreras,william,661388,contw002,contrwi02,20503,2020.0,2024.0
wallach,chad,595453,wallc001,wallach01,17161,2017.0,2023.0
porter,logan,682515,portl001,portelo01,20626,2023.0,2023.0
nevin,tyler,663527,nevit001,nevinty01,17893,2021.0,2024.0
white,eli,642201,white006,whiteel04,19346,2020.0,2024.0
senzel,nick,669222,senzn001,senzeni01,19293,2019.0,2024.0
gutiérrez,kelvin,642721,gutik001,gutieke01,17468,2019.0,2022.0
fortes,nick,663743,fortn001,forteni01,21538,2021.0,2024.0
grandal,yasmani,518735,grany001,grandya01,11368,2012.0,2024.0
crawford,brandon,543063,crawb001,crawfbr01,5343,2011.0,2024.0
dozier,hunter,641531,dozih001,doziehu01,15117,2016.0,2023.0
brinson,lewis,621446,brinl001,brinsle01,14352,2017.0,2022.0
perkins,blake,663368,perkb002,perkibl01,19921,2023.0,2024.0
renfroe,hunter,592669,renfh001,renfrhu01,15464,2016.0,2024.0
outman,james,681546,outmj002,outmaja01,24770,2022.0,2024.0
arenado,nolan,571448,arenn001,arenano01,9777,2013.0,2024.0
suzuki,kurt,435559,suzuk001,suzukku01,8259,2007.0,2022.0
fletcher,david,664058,fletd002,fletcda02,17992,2018.0,2024.0
williams,alika,675961,willa005,willial04,27604,2023.0,2024.0
vargas,ildemaro,545121,vargi001,vargail01,13324,2017.0,2024.0
murphy,tom,608596,murpt002,murphto04,13499,2015.0,2024.0
madrigal,nick,663611,madrn001,madrini01,20521,2020.0,2024.0
barrera,tres,668663,barrt004,barretr01,19977,2019.0,2023.0
luplow,jordan,656669,luplj001,luplojo01,16424,2017.0,2023.0
cordero,franchy,614173,cordf003,cordefr02,14567,2017.0,2023.0
rodgers,brendan,663898,rodgb002,rodgebr02,17907,2019.0,2024.0
greiner,grayson,606988,greig001,greingr01,17062,2018.0,2022.0
marsh,brandon,669016,marsb002,marshbr02,20202,2021.0,2024.0
cowser,colton,681297,cowsc001,cowseco01,29591,2023.0,2024.0
riddle,jt,595375,riddj001,riddljt01,17642,2017.0,2022.0
mondesí,adalberto,609275,mondr003,mondera02,13769,2016.0,2022.0
gelof,zack,680869,geloz001,gelofza01,29766,2023.0,2024.0
norby,connor,681393,norbc001,norbyco01,-1,2024.0,2024.0
davis,brendon,663478,davib006,davisbr04,18587,2022.0,2022.0
martínez,j. p.,679881,martj012,martijp01,24451,2023.0,2024.0
alcántara,kevin,682634,alcak001,alcanke01,-1,2024.0,2024.0
barrosa,jorge,678489,barrj004,barrojo01,23968,2024.0,2024.0
machado,manny,592518,machm001,machama01,11493,2012.0,2024.0
krizan,jason,607249,krizj001,krizaja01,12394,2022.0,2022.0
mccoy,mason,669200,mccom002,mccoyma01,22232,2023.0,2024.0
yastrzemski,mike,573262,yastm001,yastrmi01,14854,2019.0,2024.0
mazeika,patrick,664850,mazep001,mazeipa01,18142,2021.0,2022.0
hernández,yonny,660634,herny003,hernayo02,19432,2021.0,2023.0
torres,gleyber,650402,torrg001,torregl01,16997,2018.0,2024.0
wong,kolten,543939,wongk001,wongko01,12532,2013.0,2023.0
johnson,bryce,669369,johnb005,johnsbr03,20002,2022.0,2024.0
peguero,liover,678894,pegul001,pegueli01,24273,2022.0,2024.0
caballero,josé,676609,cabaj001,cabaljo01,23401,2023.0,2024.0
feduccia,hunter,676439,feduh001,feduchu01,-1,2024.0,2024.0
mead,curtis,678554,meadc001,meadcu01,23986,2023.0,2024.0
wallner,matt,670242,wallm001,wallnma01,26466,2022.0,2024.0
meadows,austin,640457,meada001,meadoau01,15672,2018.0,2023.0
camargo,johan,622666,camaj001,camarjo01,14950,2017.0,2023.0
casali,curt,592200,casac001,casalcu01,12510,2014.0,2024.0
mclain,matt,680574,mclam001,mclaima01,29695,2023.0,2023.0
jones,greg,675659,joneg003,jonesgr02,-1,2024.0,2024.0
garcía,avisaíl,541645,garca003,garciav01,5760,2012.0,2024.0
buxton,byron,621439,buxtb001,buxtoby01,14161,2015.0,2024.0
edwards,xavier,669364,edwax001,edwarxa01,22266,2023.0,2024.0
garcía,luis,671277,garcl006,garcilu04,20391,2020.0,2024.0
mitchell,cal,668751,mitcc002,mitchca01,22169,2022.0,2023.0
dean,austin,621573,deana001,deanau01,18288,2018.0,2022.0
tovar,ezequiel,678662,tovae001,tovarez01,24064,2022.0,2024.0
pérez,carlos,542208,perec003,perezca02,10642,2015.0,2023.0
guthrie,dalton,656495,guthd001,guthrda01,21293,2022.0,2023.0
kingery,scott,664068,kings001,kingesc01,17975,2018.0,2022.0
wilson,marcus,657129,wilsm003,wilsoma02,17910,2022.0,2022.0
moustakas,mike,519058,mousm001,moustmi01,4892,2011.0,2023.0
davis,henry,680779,davih001,davishe01,29617,2023.0,2024.0
pereda,jhonny,640902,perej004,peredjh01,-1,2024.0,2024.0
freeman,tyler,671289,freet001,freemty01,22532,2022.0,2024.0
drury,brandon,592273,drurb001,drurybr01,11615,2015.0,2024.0
barrero,josé,676480,garcj007,garcijo02,23378,2020.0,2023.0
williams,luke,663897,willl001,willilu01,19931,2021.0,2024.0
jones,nolan,666134,jonen002,jonesno01,20529,2022.0,2024.0
remillard,zach,621545,remiz001,remilza01,19788,2023.0,2024.0
fry,david,681807,fry-d001,fryda01,24934,2023.0,2024.0
capra,vinny,681962,caprv001,capravi01,25040,2022.0,2024.0
bailey,patrick,672275,bailp001,bailepa01,27478,2023.0,2024.0
rocchio,brayan,677587,roccb001,rocchbr01,23690,2023.0,2024.0
miranda,josé,669304,miraj002,miranjo01,20538,2022.0,2024.0
castellanos,nick,592206,castn001,casteni01,11737,2013.0,2024.0
rengifo,luis,650859,rengl001,rengilu01,19858,2019.0,2024.0
smith,josh,669701,smitj007,smithjo11,26396,2022.0,2024.0
fletcher,dominic,666150,fletd003,fletcdo01,26149,2023.0,2024.0
reyes,pablo,622569,reyep001,reyespa01,16357,2018.0,2024.0
palacios,jermaine,650339,palaj002,palacje01,18371,2022.0,2022.0
moran,colin,592567,morac001,moranco01,16909,2016.0,2022.0
kennedy,buddy,671083,kennb002,kennebu01,22505,2022.0,2024.0
deluca,jonny,676356,deluj001,delucjo01,26365,2023.0,2024.0
hernández,césar,514917,hernc005,hernace02,10556,2013.0,2022.0
mendick,danny,664901,mendd002,mendida01,18889,2019.0,2024.0
france,ty,664034,frant002,francty01,17982,2019.0,2024.0
